,Año,Trimestre,Provincia,Accesos por cada 100 hogares
322,2019,2,La Pampa,7708
323,2019,2,La Rioja,487
324,2019,2,Mendoza,4075
325,2019,2,Misiones,3915
326,2019,2,Neuquén,6308
327,2019,2,Río Negro,6109
328,2019,2,Salta,4189
329,2019,2,San Juan,356
330,2019,2,San Luis,8179
331,2019,2,Santa Cruz,2885
332,2019,2,Santa Fe,6742
333,2019,2,Santiago Del Estero,5279
334,2019,2,Tierra Del Fuego,948
335,2019,2,Tucumán,4014
336,2019,1,Buenos Aires,6624
337,2019,1,Capital Federal,1092
338,2019,1,Catamarca,3219
339,2019,1,Chaco,3264
340,2019,1,Chubut,43
341,2019,1,Córdoba,6552
342,2019,1,Corrientes,3513
343,2019,1,Entre Ríos,5679
344,2019,1,Formosa,2968
345,2019,1,Jujuy,4641
346,2019,1,La Pampa,7635
347,2019,1,La Rioja,5018
348,2019,1,Mendoza,3766
349,2019,1,Misiones,3626
350,2019,1,Neuquén,5888
351,2019,1,Río Negro,5357
352,2019,1,Salta,401
353,2019,1,San Juan,3183
354,2019,1,San Luis,6734
355,2019,1,Santa Cruz,2367
356,2019,1,Santa Fe,6697
357,2019,1,Santiago Del Estero,3752
358,2019,1,Tierra Del Fuego,9338
359,2019,1,Tucumán,4163
360,2018,4,Buenos Aires,646
361,2018,4,Capital Federal,10827
362,2018,4,Catamarca,3223
363,2018,4,Chaco,3259
364,2018,4,Chubut,4261
365,2018,4,Córdoba,6509
366,2018,4,Corrientes,3457
367,2018,4,Entre Ríos,5437
368,2018,4,Formosa,2974
369,2018,4,Jujuy,4653
370,2018,4,La Pampa,7349
371,2018,4,La Rioja,5035
372,2018,4,Mendoza,3776
373,2018,4,Misiones,3445
374,2018,4,Neuquén,5907
375,2018,4,Río Negro,5186
376,2018,4,Salta,398
377,2018,4,San Juan,319
378,2018,4,San Luis,6755
379,2018,4,Santa Cruz,2369
380,2018,4,Santa Fe,6559
381,2018,4,Santiago Del Estero,374
382,2018,4,Tierra Del Fuego,9359
383,2018,4,Tucumán,4176
384,2018,3,Buenos Aires,6444
385,2018,3,Capital Federal,10845
386,2018,3,Catamarca,3292
387,2018,3,Chaco,3228
388,2018,3,Chubut,5639
389,2018,3,Córdoba,6424
390,2018,3,Corrientes,3425
391,2018,3,Entre Ríos,5022
392,2018,3,Formosa,2958
393,2018,3,Jujuy,2326
394,2018,3,La Pampa,7175
395,2018,3,La Rioja,5073
396,2018,3,Mendoza,3799
397,2018,3,Misiones,321
398,2018,3,Neuquén,6049
399,2018,3,Río Negro,5054
400,2018,3,Salta,3943
401,2018,3,San Juan,3305
402,2018,3,San Luis,5235
403,2018,3,Santa Cruz,3273
404,2018,3,Santa Fe,6341
405,2018,3,Santiago Del Estero,3625
406,2018,3,Tierra Del Fuego,9277
407,2018,3,Tucumán,4168
408,2018,2,Buenos Aires,6278
409,2018,2,Capital Federal,10653
410,2018,2,Catamarca,3286
411,2018,2,Chaco,3125
412,2018,2,Chubut,549
413,2018,2,Córdoba,6327
414,2018,2,Corrientes,3381
415,2018,2,Entre Ríos,492
416,2018,2,Formosa,2943
417,2018,2,Jujuy,2343
418,2018,2,La Pampa,7104
419,2018,2,La Rioja,5098
420,2018,2,Mendoza,3697
421,2018,2,Misiones,3163
422,2018,2,Neuquén,6024
423,2018,2,Río Negro,5015
424,2018,2,Salta,3994
425,2018,2,San Juan,3295
426,2018,2,San Luis,1515
427,2018,2,Santa Cruz,3333
428,2018,2,Santa Fe,6257
429,2018,2,Santiago Del Estero,3526
430,2018,2,Tierra Del Fuego,9161
431,2018,2,Tucumán,4151
432,2018,1,Buenos Aires,6263
433,2018,1,Capital Federal,10624
434,2018,1,Catamarca,3279
435,2018,1,Chaco,3083
436,2018,1,Chubut,5372
437,2018,1,Córdoba,6352
438,2018,1,Corrientes,3266
439,2018,1,Entre Ríos,4868
440,2018,1,Formosa,214
441,2018,1,Jujuy,2312
442,2018,1,La Pampa,7175
443,2018,1,La Rioja,5144
444,2018,1,Mendoza,3707
445,2018,1,Misiones,3096
446,2018,1,Neuquén,6152
447,2018,1,Río Negro,4982
448,2018,1,Salta,3978
449,2018,1,San Juan,3261
450,2018,1,San Luis,1515
451,2018,1,Santa Cruz,3355
452,2018,1,Santa Fe,6228
453,2018,1,Santiago Del Estero,3499
454,2018,1,Tierra Del Fuego,652
455,2018,1,Tucumán,4118
456,2017,4,Buenos Aires,5761
457,2017,4,Capital Federal,1229
458,2017,4,Catamarca,2862
459,2017,4,Chaco,3081
460,2017,4,Chubut,5146
461,2017,4,Córdoba,6333
462,2017,4,Corrientes,3252
463,2017,4,Entre Ríos,4789
464,2017,4,Formosa,2127
465,2017,4,Jujuy,2274
466,2017,4,La Pampa,7105
467,2017,4,La Rioja,5157
468,2017,4,Mendoza,3333
469,2017,4,Misiones,3114
470,2017,4,Neuquén,6124
471,2017,4,Río Negro,4938
472,2017,4,Salta,398
473,2017,4,San Juan,303
474,2017,4,San Luis,1059
475,2017,4,Santa Cruz,2891
476,2017,4,Santa Fe,6171
477,2017,4,Santiago Del Estero,2913
478,2017,4,Tierra Del Fuego,5989
479,2017,4,Tucumán,399
480,2017,3,Buenos Aires,5563
