,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
121,2021,2,Capital Federal,148989.0,1175097.0,41318.0,558,29371,1400355.0
122,2021,2,Catamarca,20305.0,9426.0,22331.0,1449,2233,55744.0
123,2021,2,Chaco,39826.0,62948.0,27584.0,8018,2353,140729.0
124,2021,2,Chubut,49271.0,41497.0,6081.0,23682,18706,139237.0
125,2021,2,Córdoba,239780.0,467782.0,151855.0,55944,15519,930880.0
126,2021,2,Corrientes,46648.0,67262.0,3731.0,6557,5303,129501.0
127,2021,2,Entre Ríos,77836.0,124957.0,17856.0,23786,13197,257632.0
128,2021,2,Formosa,19571.0,12509.0,3610.0,1569,1710,51551.0
129,2021,2,Jujuy,24738.0,60800.0,19611.0,2731,3968,111848.0
130,2021,2,La Pampa,9017.0,57014.0,17132.0,13209,1295,97667.0
131,2021,2,La Rioja,11627.0,54255.0,9445.0,6245,300,81602.0
132,2021,2,Mendoza,91503.0,70834.0,44696.0,21811,8270,229671.0
133,2021,2,Misiones,44960.0,87861.0,10376.0,5317,7662,156176.0
134,2021,2,Neuquén,30083.0,72690.0,15619.0,19218,6400,138250.0
135,2021,2,Río Negro,48189.0,43761.0,18727.0,15031,18376,144084.0
136,2021,2,Salta,51396.0,96016.0,32050.0,5724,6453,191639.0
137,2021,2,San Juan,40072.0,12369.0,6673.0,11372,8447,78933.0
138,2021,2,San Luis,8417.0,11308.0,28.0,6686,36205,122818.0
139,2021,2,Santa Cruz,12347.0,22967.0,6328.0,4269,3071,48982.0
140,2021,2,Santa Fe,256741.0,431915.0,90424.0,43997,17523,840600.0
141,2021,2,Santiago Del Estero,20734.0,83770.0,909.0,5081,3596,114090.0
142,2021,2,Tierra Del Fuego,12853.0,22504.0,6.0,140,3160,35693.0
143,2021,2,Tucumán,110429.0,48359.0,71683.0,1837,7430,233051.0
144,2021,1,Buenos Aires,629679.0,2452056.0,821597.0,98806,57864,4060002.0
145,2021,1,Capital Federal,159805.0,1145093.0,39980.0,5559,29236,1379673.0
146,2021,1,Catamarca,26316.0,4409.0,18688.0,3220,2233,51968.0
147,2021,1,Chaco,43214.0,61251.0,25426.0,8004,1875,139770.0
148,2021,1,Chubut,45501.0,40960.0,3444.0,23723,18712,132340.0
149,2021,1,Córdoba,260350.0,444695.0,134634.0,54137,17065,910881.0
150,2021,1,Corrientes,49160.0,62876.0,3337.0,5949,5303,126625.0
151,2021,1,Entre Ríos,83688.0,118424.0,16846.0,20836,12169,251963.0
152,2021,1,Formosa,20663.0,11412.0,2562.0,15669,3800,50686.0
153,2021,1,Jujuy,32254.0,54324.0,17322.0,2677,3879,110456.0
154,2021,1,La Pampa,8946.0,58711.0,15779.0,12369,13,97105.0
155,2021,1,La Rioja,17363.0,34984.0,1.0,2500,300,52628.0
156,2021,1,Mendoza,91844.0,69295.0,38619.0,18332,8330,218923.0
157,2021,1,Misiones,48292.0,82339.0,7064.0,4796,6896,149387.0
158,2021,1,Neuquén,30223.0,70457.0,14171.0,17752,6320,133235.0
159,2021,1,Río Negro,48777.0,42192.0,17828.0,13994,18377,141168.0
160,2021,1,Salta,54768.0,89187.0,31498.0,5669,6452,187574.0
161,2021,1,San Juan,40072.0,11589.0,6671.0,11482,8453,78267.0
162,2021,1,San Luis,8417.0,10678.0,28.0,63826,36205,119154.0
163,2021,1,Santa Cruz,12347.0,23089.0,5975.0,4264,3900,46065.0
164,2021,1,Santa Fe,277012.0,421480.0,70976.0,3914,17519,826127.0
165,2021,1,Santiago Del Estero,26468.0,75849.0,570.0,5158,3596,111641.0
166,2021,1,Tierra Del Fuego,12853.0,27247.0,6.0,0,3160,40422.0
167,2021,1,Tucumán,147199.0,12185.0,69954.0,1834,7400,231912.0
168,2020,4,Buenos Aires,635651.0,2441248.0,804991.0,93444,57927,4033261.0
169,2020,4,Capital Federal,163060.0,1142528.0,39890.0,4815,29237,1379530.0
170,2020,4,Catamarca,26870.0,5115.0,17856.0,3220,2233,52396.0
171,2020,4,Chaco,44332.0,61200.0,23687.0,7997,1875,139091.0
172,2020,4,Chubut,45703.0,39756.0,3040.0,23363,18712,130574.0
173,2020,4,Córdoba,267396.0,439322.0,125620.0,52827,17536,902701.0
174,2020,4,Corrientes,50102.0,61495.0,3146.0,5626,529,125659.0
175,2020,4,Entre Ríos,85683.0,113670.0,15653.0,20206,12169,247381.0
176,2020,4,Formosa,21264.0,10789.0,2432.0,15341,3800,50206.0
177,2020,4,Jujuy,32850.0,52815.0,15639.0,1077,347,105851.0
178,2020,4,La Pampa,9009.0,58945.0,15432.0,12194,1315,96895.0
179,2020,4,La Rioja,17513.0,34984.0,1.0,2500,300,52778.0
180,2020,4,Mendoza,91842.0,68364.0,36083.0,18331,8330,215453.0
181,2020,4,Misiones,49462.0,79855.0,6589.0,4359,6896,147161.0
182,2020,4,Neuquén,30468.0,70614.0,13732.0,17689,6320,133135.0
183,2020,4,Río Negro,48991.0,42022.0,17826.0,13994,18377,141210.0
