Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV por suscripción
2015,2,Córdoba,20.32,66.35,724175,600954,79949,2495,40777,2744,8971,979028
2015,2,Corrientes,10.15,38.54,10853,90063,11982,374,6111,856,3254,91645
2015,2,Entre Ríos,17.41,58.21,229823,190718,25372,792,12941,1165,3898,153882
2015,2,Formosa,7.23,28.4,41848,34728,462,144,2356,8,3146,46356
2015,2,Jujuy,7.76,30.36,56443,4684,6231,194,3178,1148,4492,83523
2015,2,La Pampa,22.79,69.15,78106,64816,8623,269,4398,2416,7338,82878
2015,2,La Rioja,10.59,39.78,38903,32283,4295,134,2191,691,2598,25403
2015,2,Mendoza,18.6,66.63,350326,290717,38676,1207,19726,619,2220,116704
2015,2,Misiones,9.3,34.15,110526,91719,12202,381,6224,978,3593,116298
2015,2,Neuquén,15.79,53.02,97708,81082,10787,337,5502,1795,6036,111237
2015,2,Río Negro,18.83,61.2,131424,109062,14509,453,74,833,2710,58204
2015,2,Salta,10.58,43.69,140955,116971,15561,486,7937,1269,5244,169164
2015,2,San Juan,13.65,53.58,100775,83628,11126,347,5674,59,2316,43565
2015,2,San Luis,11.11,38.81,5286,43866,5836,182,2976,1166,4080,55558
2015,2,Santa Cruz,18.42,61.89,58897,48876,6502,203,3316,169,5691,54155
2015,2,Santa Fe,22.52,71.61,764496,634414,844,2634,43048,18,5728,611604
2015,2,Santiago del Estero,7.56,30.46,70102,58175,7739,241,3947,1064,4289,98712
2015,2,Tierra del Fuego,22.5,75.85,34186,28369,3774,118,1925,2367,8001,36057
2015,2,Tucumán,13.34,53.83,212182,176078,23425,731,11948,763,3082,121485
